CREDIT_TERM,DAYS_REGISTRATION,DAYS_BIRTH,DAYS_ID_PUBLISH,DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE,INSTA_AMT_INSTALMENT,AMT_ANNUITY,CREDIT_INCOME_PERCENT,REGION_POPULATION_RELATIVE,BUREAU_DAYS_CREDIT,ANNUITY_INCOME_PERCENT,SK_ID_CURR
8.842109762352539,-637.0,13297.0,-4307.0,-762.0,-2.0,4168.131206896552,52641.0,2.248586956521739,0.00963,-1142.857142857143,0.2543043478260869,0
26.18598878367197,-1610.0,14778.0,-4546.0,-1141.0,-1071.0,48174.73971428571,48946.5,5.178636363636364,0.006852,-841.6,0.1977636363636363,1
12.656771372684386,-2507.0,17907.0,-1461.0,-639.0,-1435.0,12561.986842105263,39109.5,2.4444444444444446,0.035792,-859.1666666666666,0.1931333333333333,2
10.212919523637677,-11167.0,19626.0,-3158.0,-6982.0,-2000.0,11225.831538461538,24939.0,1.029090909090909,0.04622,-2421.0,0.1007636363636363,3
19.425248226950355,-7299.0,20327.0,-494.0,-1105.0,-173.0,22811.576896551724,15862.5,2.73896,0.01885,-1215.6666666666667,0.141,4
9.286300246103364,-8549.0,19130.0,-959.0,365243.0,-1011.0,14488.245,16456.5,1.7873684210526315,0.006629,-216.66666666666663,0.1924736842105263,5
36.36363636363637,-492.0,15722.0,-4672.0,-345.0,-440.0,0.0,24750.0,8.0,0.015221,-1072.5,0.22,6
24.456521739130437,-263.0,10801.0,-3152.0,-260.0,-222.0,0.0,33120.0,5.720096606076014,0.018801,-608.5,0.2338883945595525,7
22.701855239090676,-1663.0,23516.0,-4763.0,365243.0,0.0,19260.543,34443.0,5.991724137931034,0.0228,-1480.571428571429,0.2639310344827586,8
25.122472051249844,-8733.0,8755.0,-1436.0,-649.0,0.0,40365.99204545454,35824.5,9.090909090909092,0.026392,0.0,0.3618636363636364,9
19.436100131752305,-3471.0,13280.0,-4880.0,-280.0,-956.0,30146.146875,17077.5,4.917333333333334,0.006305,-1818.0,0.253,10
20.31694433157253,-3232.0,8438.0,-838.0,-809.0,-555.0,8923.796379310344,11074.5,1.6666666666666667,0.0228,-473.6666666666667,0.0820333333333333,11
34.633377135348226,-10231.0,22532.0,-4226.0,365243.0,-1102.0,9460.906485148516,17122.5,2.196333333333333,0.005144,-972.375,0.0634166666666666,12
30.998140111593305,-80.0,16758.0,-290.0,-1093.0,-720.0,21626.28,36292.5,1.7857142857142858,0.0145199999999999,-623.0,0.0576071428571428,13
26.862408246134624,-615.0,11214.0,-626.0,-831.0,-67.0,0.0,28813.5,4.3,0.018029,-431.6666666666667,0.160075,14
15.148609779482262,-4426.0,10213.0,-2097.0,-2189.0,0.0,9723.155625,9387.0,1.264,0.022625,-862.0,0.08344,15
20.0,-12499.0,22488.0,-4074.0,-6928.0,-1909.0,12062.12274834437,38250.0,2.982456140350877,0.032561,-1317.5,0.1491228070175438,16
25.621511922881787,-2948.0,12178.0,-4449.0,-931.0,-496.0,8863.47,17739.0,10.1,0.030755,0.0,0.3942,17
23.509673927749965,-9895.0,22634.0,-4192.0,365243.0,-1191.0,21786.54,33259.5,2.673230769230769,0.020246,0.0,0.1137076923076923,18
34.01893095768374,-3955.0,23476.0,-4466.0,365243.0,-618.0,37248.55269230769,24246.0,5.236971428571429,0.016612,-1532.6,0.1539428571428571,19
14.249073810202336,-14240.0,24101.0,-4264.0,365243.0,-867.0,11400.3,15790.5,2.631578947368421,0.0145199999999999,-1495.0,0.1846842105263157,20
19.55944055944056,-4442.0,9664.0,-2332.0,-817.0,-1118.0,63233.235,38610.0,2.797,0.008068,-436.0,0.143,21
14.727368421052631,-610.0,10366.0,-2325.0,-321.0,0.0,3666.0375,34200.0,4.47712,0.007305,0.0,0.304,22
8.826297984997794,-8507.0,8544.0,-1223.0,365243.0,0.0,13403.095,30595.5,1.0910909090909091,0.016612,-153.5,0.1236181818181818,23
20.402435723951285,-203.0,13987.0,-3510.0,-778.0,-635.0,69556.9752,16627.5,3.01548,0.020713,-222.0,0.1478,24
10.237481590574374,-1071.0,22783.0,-4319.0,-1329.0,-2049.0,34495.11642857143,48888.0,2.471555555555556,0.035792,-1202.857142857143,0.2414222222222222,25
19.53671928620453,-6092.0,10836.0,-380.0,-830.0,0.0,4390.5634615384615,52452.0,15.181333333333331,0.0116569999999999,0.0,0.7770666666666667,26
18.318690972984847,-1821.0,10801.0,-3078.0,-1511.0,-1210.0,8468.832717391304,20488.5,2.1948684210526315,0.008575,-869.375,0.1198157894736842,27
30.1301740529472,-3388.0,17096.0,-624.0,-1359.0,0.0,6308.428170731707,30766.5,2.942857142857143,0.028663,-859.5454545454545,0.0976714285714285,28
19.584802193497847,-6664.0,13634.0,-4627.0,-6344.0,-915.0,39064.57125,34465.5,5.0,0.015221,-1498.428571428571,0.2553,29
12.627716309798616,-1374.0,13099.0,-5379.0,-848.0,-300.0,4557.195,56533.5,3.525377777777778,0.022625,-395.75,0.2791777777777778,30
20.0,-7898.0,20885.0,-590.0,365243.0,-117.0,21763.98,18000.0,2.6666666666666665,0.01885,0.0,0.1333333333333333,31
25.05675146771037,-5231.0,22441.0,-4586.0,365243.0,-660.0,12799.114411764704,20695.5,2.8809,0.035792,-741.0,0.114975,32
28.707411044798672,-6433.0,22342.0,-4385.0,365243.0,-1163.0,23689.691320754715,59566.5,7.6,0.026392,-789.6,0.26474,33
12.658227848101266,-1840.0,14374.0,-4769.0,-2310.0,-1161.0,13925.1965625,17775.0,1.25,0.0066709999999999,-821.0,0.09875,34
18.241517694272165,-3694.0,13297.0,-3214.0,-1883.0,-2139.0,1969.22625,12334.5,1.6666666666666667,0.026392,-1433.2,0.0913666666666666,35
20.0,-7868.0,15869.0,-1374.0,-2821.0,-667.0,27338.6511627907,20250.0,2.0,0.019101,-26.0,0.1,36
19.386676066267185,-755.0,19087.0,-2641.0,-926.0,-968.0,52505.1,12766.5,1.6417910447761197,0.030755,-903.3333333333334,0.0846865671641791,37
34.697818111604555,-833.0,21588.0,-3921.0,365243.0,-1077.0,20168.51625,23305.5,3.523529411764706,0.01885,-1121.909090909091,0.1015490196078431,38
